-BEGIN HEADER-
Dataset: NASA_Sukabumi_Hourly.csv
Variabel: RH2M
Forecast Summary:
Ringkasan prediksi kelembaban udara (RH2M) untuk periode 01-01-2023 hingga 08-01-2023:

▸ Statistik: rata-rata 87.50 % (sangat lembab), tertinggi 90.21 %, terendah 83.49 %, standar deviasi 2.36 %. Rentang nilai harian mencapai 6.72 %.

▸ Pola harian: puncak sekitar pukul 02:00, lembah sekitar pukul 13:00. Tren meningkat menuju akhir periode.

▸ Analisis: Kelembaban tinggi perlu diperhatikan karena berpotensi mempercepat korosi pada komponen turbin. Pemantauan berkala tetap disarankan untuk mengantisipasi perubahan kondisi atmosfer yang dapat mempengaruhi kinerja sistem.

▸ Performa model: XGB — MAE **0.408** %, RMSE **0.569** %, sMAPE **0.49%**, R² **0.993** (sangat baik). Model mampu menjelaskan variasi data dengan kemampuan sangat baik. Akurasi keseluruhan tergolong **tinggi**.

-END HEADER-

YEAR;MO;DY;HR;RH2M;GBR;XGB;KNN;LSTM;BiLSTM
2013;1;16;19;90,88;90,874;90,946;91,223;90,555;90,588
2013;1;16;20;91,25;91,188;91,186;91,579;91,197;91,178
2013;1;16;21;91,56;91,381;91,52;91,718;91,517;91,312
2013;1;16;22;91,88;91,648;91,791;91,96;91,753;91,249
2013;1;16;23;92,06;91,915;92,021;91,791;91,98;91,141
2013;1;17;0;92,19;92,198;92,135;92,193;92,116;91,137
2013;1;17;1;92,0;92,1;92,225;92,336;92,333;91,577
2013;1;17;2;91,38;91,817;91,901;92,523;92,445;91,938
2013;1;17;3;90,62;91,372;91,27;92,304;92,348;92,14
2013;1;17;4;90,88;90,934;90,634;91,992;91,79;91,695
2013;1;17;5;91,69;90,826;90,814;91,8;90,8;90,714
2013;1;17;6;91,62;90,977;90,902;91,495;89,927;89,763
2013;1;17;7;89,81;89,354;89,717;90,502;89,542;89,116
2013;1;17;8;88,75;87,851;88,148;89,103;88,733;87,529
2013;1;17;9;88,0;87,051;87,115;87,884;86,623;85,833
2013;1;17;10;86,94;85,914;86,507;86,727;85,061;84,675
2013;1;17;11;86,0;85,065;85,604;85,626;85,098;84,582
2013;1;17;12;84,88;84,562;85,063;84,996;85,262;84,669
2013;1;17;13;83,94;84,017;84,657;84,468;84,892;84,735
2013;1;17;14;83,69;83,906;84,616;84,443;84,515;85,014
2013;1;17;15;84,25;84,24;84,754;84,733;84,721;85,613
2013;1;17;16;85,94;85,366;85,633;86,212;85,77;86,84
